ID,UUID,user_id,article_id
1,l1m2n3o4-1111,u1e2f3g4-3333,a1b2c3d4-1111
2,l1m2n3o4-2222,u1e2f3g4-5555,a1b2c3d4-1111
3,l1m2n3o4-3333,u1e2f3g4-2222,a1b2c3d4-1111
4,l1m2n3o4-4444,u1e2f3g4-1111,a1b2c3d4-2222
5,l1m2n3o4-5555,u1e2f3g4-3333,a1b2c3d4-2222
6,l1m2n3o4-6666,u1e2f3g4-4444,a1b2c3d4-3333
7,l1m2n3o4-7777,u1e2f3g4-5555,a1b2c3d4-3333
8,l1m2n3o4-8888,u1e2f3g4-2222,a1b2c3d4-3333
9,l1m2n3o4-9999,u1e2f3g4-1111,a1b2c3d4-3333
10,l1m2n3o4-0001,u1e2f3g4-4444,a1b2c3d4-4444
11,l1m2n3o4-0002,u1e2f3g4-3333,a1b2c3d4-5555
12,l1m2n3o4-0003,u1e2f3g4-1111,a1b2c3d4-5555
13,l1m2n3o4-0004,u1e2f3g4-5555,a1b2c3d4-6666
14,l1m2n3o4-0005,u1e2f3g4-2222,a1b2c3d4-7777
15,l1m2n3o4-0006,u1e2f3g4-3333,a1b2c3d4-7777
16,l1m2n3o4-0007,u1e2f3g4-4444,a1b2c3d4-8888
17,l1m2n3o4-0008,u1e2f3g4-1111,a1b2c3d4-8888
18,l1m2n3o4-0009,u1e2f3g4-2222,a1b2c3d4-9999
19,l1m2n3o4-0010,u1e2f3g4-4444,a1b2c3d4-9999
20,l1m2n3o4-0011,u1e2f3g4-3333,a1b2c3d4-0000
